event_ns,lane,note_id,stage,judgment,delay_ns
50509708277,0,324,scored,perfect,-6875
50512665103,1,325,scored,perfect,-511491
50698665578,1,326,scored,perfect,85586
50717666649,0,327,scored,perfect,-526136
50916667145,0,328,scored,perfect,-304128
51378772545,0,329,scored,perfect,-484718
51415756237,1,330,scored,perfect,428498
51438760684,0,331,scored,perfect,-319285
51641752345,0,332,scored,perfect,-539398
51851759201,0,333,scored,perfect,-441155
52002756867,0,334,scored,perfect,360631
52029752790,1,335,scored,perfect,-21007
52286749988,1,336,scored,perfect,-455788
52291748162,0,337,scored,perfect,-136170
52693751684,0,338,scored,perfect,221803
52713799751,1,339,scored,perfect,-161038
52807748268,1,340,scored,perfect,-481608
53036761650,1,341,scored,perfect,-449763
53058769430,0,342,scored,perfect,16693
53134757551,0,343,scored,perfect,-349686
53173759373,1,344,scored,perfect,74797
53257760683,1,345,scored,perfect,275233
53308770888,0,346,scored,perfect,127648
53397754924,1,347,scored,perfect,-686529
53486765358,0,348,scored,perfect,-103076
53604770877,0,349,scored,perfect,-144045
53611773221,1,350,scored,perfect,-427462
53669774369,0,351,scored,perfect,18574
53916774281,1,352,scored,perfect,-679656
54058822738,1,353,scored,perfect,18194
54107774176,0,354,scored,perfect,32751
54199772611,1,355,scored,perfect,-458013
54246771680,0,356,scored,perfect,-137588
54283769946,1,357,scored,perfect,287179
54320770826,0,358,scored,perfect,-149243
54446772251,1,359,scored,perfect,-540424
54535775007,1,360,scored,perfect,376860
54563770381,0,361,scored,perfect,-633554
54819770534,1,362,scored,perfect,-60795
54918774633,0,363,scored,perfect,-265601
54979771233,1,364,scored,perfect,-507505
55316792879,1,365,scored,perfect,-314247
55568773161,0,366,scored,perfect,156611
55593773329,1,367,scored,perfect,40252
55824770878,0,368,scored,perfect,186975
55983792392,0,369,scored,perfect,-16655
56024770656,1,370,scored,perfect,-330253
56167770075,0,371,scored,perfect,-69952
56630771268,1,372,scored,perfect,-509373
56699789603,0,373,scored,perfect,-245133
56759777012,0,374,scored,perfect,83236
56831775289,1,375,scored,perfect,-178746
56850771637,0,376,scored,perfect,188203
57003771694,1,377,scored,perfect,252777
57160513268,0,378,scored,perfect,-291196
57195514264,1,379,scored,perfect,-393929
57278516029,1,380,scored,perfect,-533453
57314516908,0,381,scored,perfect,-53862
57446519795,1,382,scored,perfect,-193221
57472516983,0,383,scored,perfect,-537194
57671513767,0,384,scored,perfect,229065
57823511866,1,385,scored,perfect,-643398
57825512720,0,386,scored,perfect,-419209
58001512795,1,387,scored,perfect,-611053
58098516583,0,388,scored,perfect,-712553
58165515193,0,389,scored,perfect,-136833
58202515407,1,390,scored,perfect,-340934
58267512265,0,391,scored,perfect,-402414
58274514918,1,392,scored,perfect,-460697
58371511105,0,393,scored,perfect,-150255
58417509966,1,394,scored,perfect,-638111
58472513206,0,395,scored,perfect,-162110
58902517280,1,396,scored,perfect,193451
58903513260,0,397,scored,perfect,112765
59211549277,0,398,scored,perfect,-486835
59251521847,1,399,scored,perfect,-734537
59301512366,0,400,scored,perfect,-123275
59579509685,0,401,scored,perfect,-232374
59595513926,1,402,scored,perfect,-591874
59808513859,0,403,scored,perfect,-97076
59902510590,1,404,scored,perfect,-229164
59960511639,0,405,scored,perfect,179763
60084512250,0,406,scored,perfect,49216
60202517212,1,407,scored,perfect,-244796
60219517492,0,408,scored,perfect,181775
60396515514,0,409,scored,perfect,-216625
60766510835,0,410,scored,perfect,-256324
60811513563,1,411,scored,perfect,-507491
60938511576,1,412,scored,perfect,-127777
